"brand","make","year","cm3","km","price"
"Renault","Kangoo","2014","1461.0","185000","6300"
"Citroen","C5","2009","1997.0","189000","6150"
"Fiat","500","2017","875.0","31000","10990"
"Ford","Focus","2009","1560.0","223000","2999"
"Volvo","XC 60","2015","1969.0","147304","21999"
"Renault","Kangoo","2013","1461.0","108000","5900"
"Renault","Grand Scenic","2007","1870.0","185705","2990"
"Mercedes","ML 250","2014","2143.0","215987","26199"
"VW","Touran","2011","1598.0","189288","7500"
"Opel","Adam","2013","1388.0","48000","7700"
"Citroen","C5","2008","1997.0","191560","4690"
"Ford","Fiesta","2002","1389.0","167000","1650"
"Seat","Altea","2005","1896.0","162358","2890"
"Fiat","Croma","2006","1910.0","173695","2100"
"Audi","A4","2005","2496.0","307000","3450"
"Ford","Fiesta","2006","1399.0","215000","2550"
"Opel","Corsa","2018","1398.0","7750","7500"
"Škoda","Octavia","2010","1896.0","187635","5650"
"Fiat","500","2007","1248.0","147102","4590"
"Volvo","XC 60","2014","2400.0","138000","14999"
"Fiat","Grande Punto","2009","1248.0","116833","3650"
"VW","Golf 4","2004","1896.0","191652","2950"
"Fiat","500L","2014","1598.0","167491","6899"
"VW","Golf 5","2005","1896.0","192559","3950"
"Peugeot","407","2005","1560.0","168695","2950"
"BMW","525","2013","1995.0","154000","18600"
"Mercedes","B 180","2013","1461.0","182955","11399"
"Fiat","Punto","2004","1242.0","157000","2100"
"Renault","Laguna","2013","1995.0","130594","9500"
"Citroen","BX","1989","1600.0","170000","400"
"Renault","Grand Scenic","2011","1461.0","217418","5500"
"Mercedes","C 200","2009","2148.0","159931","6950"
"Peugeot","307","2001","1998.0","174212","1600"
"Renault","Scenic","2008","1860.0","184000","3650"
"BMW","525","2007","2499.0","280000","8000"
"Fiat","Grande Punto","2013","1250.0","104000","4690"
"Opel","Corsa","2005","1299.0","199205","1700"
"Renault","Megane","2008","1461.0","191707","2950"
"Lada","Niva","2000","1689.0","135000","2200"
"Fiat","500L","2014","1248.0","159193","7499"
"VW","Touareg","2013","2967.0","142759","21499"
"Ford","Fiesta","2004","1399.0","164572","1950"
"Renault","Clio","2002","1500.0","250000","1000"
"Renault","Laguna","2008","1995.0","206000","4350"
"Fiat","500","2008","1248.0","132735","4950"
"Opel","Astra","2010","1686.0","160388","5690"
"BMW","320","2009","1995.0","219619","7450"
"BMW","525","2012","1995.0","194132","14999"
"Chevrolet","Captiva","2008","1991.0","189000","4800"
"Mazda","CX_7","2009","2184.0","197000","7500"
"Opel","Astra","2010","1686.0","185000","5750"
"VW","Passat","2009","1968.0","180657","5390"
"VW","Polo","2003","1390.0","149000","2100"
"VW","Bora","2005","1896.0","192613","3350"
"Peugeot","206","2001","1587.0","198000","1400"
"Škoda","Octavia","2011","1968.0","320000","7500"
"Ford","Fiesta","2005","1248.0","128000","1600"
"Ford","Focus","2009","1560.0","152036","3950"
"Opel","Insignia","2009","1956.0","164233","6650"
"Peugeot","207","2006","1360.0","150000","2899"
"Hyundai","Santa Fe","2002","1997.0","156000","4750"
"Audi","A5","2013","1968.0","156109","17799"
"VW","Golf 5","2008","1896.0","195000","4850"
"Mercedes","GLK 200","2014","2143.0","130071","16950"
"Chevrolet","Spark","2011","1206.0","152000","2330"
"Fiat","Punto","2013","1368.0","129700","5500"
"Ford","Mondeo","2013","1997.0","151500","11500"
"Hyundai","Tucson","2008","1991.0","178004","5950"
"Peugeot","308","2013","1560.0","179000","4890"
"Opel","Astra","1996","1700.0","200000","790"
"Opel","Mokka","2015","1598.0","83500","10380"
"VW","Touran","2006","1997.0","186000","2750"
"BMW","320","2004","1995.0","185670","3250"
"VW","Fox","2005","1398.0","165000","1999"
"Fiat","Punto","2004","1200.0","179000","1500"
"Mazda","2","2008","1398.0","176000","3499"
"Mitsubishi","Colt","2006","1124.0","127000","2480"
"Citroen","C4 Picasso","2007","1560.0","167000","3850"
"Fiat","Croma","2005","2198.0","91500","3640"
"Mercedes","A 170","2002","1689.0","246000","1300"
"Opel","Zafira","2011","1680.0","147000","4670"
"Peugeot","306","2001","1868.0","203346","950"
"Škoda","Fabia","2003","1200.0","200000","1300"
"Ford","Focus","2005","1399.0","96000","1899"
"Škoda","Yeti","2009","1968.0","221000","5510"
"Citroen","Berlingo","2003","1390.0","186000","2250"
"Renault","Megane","2003","1461.0","244000","1150"
"VW","Polo","2001","1398.0","106000","1599"
"VW","Touareg","2005","2496.0","267037","6500"
"Fiat","Grande Punto","2006","1248.0","213000","2600"
"Opel","Astra","2006","1398.0","179000","2950"
"Ford","Fiesta","2006","1598.0","167000","1999"
"Renault","Clio","2005","1461.0","180000","1400"
"Audi","A4","2003","1598.0","220000","2999"
"Audi","A3","2006","1598.0","178448","4300"
"Fiat","Croma","2007","2198.0","91000","3090"
"Opel","Mokka","2014","1686.0","74000","11240"
"Seat","Ibiza","2004","1390.0","260000","1480"
"Opel","Zafira","2013","1956.0","168813","7520"
"Škoda","Octavia","2011","1968.0","219000","7000"
"Seat","Altea XL","2010","1598.0","145000","4999"
"Škoda","Octavia","2016","1598.0","112120","11120"
"Ford","Fusion","2004","1399.0","133000","2290"
"Opel","Vectra","2006","1910.0","227010","3800"
"VW","Touareg","2005","2496.0","267037","6500"
"BMW","316","1992","1596.0","345000","750"
"Škoda","Octavia","2015","1598.0","102000","9250"
"Opel","Astra","2004","1686.0","175000","2100"
"Fiat","Croma","2006","2196.0","145000","2800"
"Renault","Megane","2017","1461.0","133143","11120"
"Peugeot","3008","2010","1997.0","207000","6300"
"Suzuki","Alto","2009","996.0","178900","2780"
"Citroen","C4 Grand Picasso","2007","1997.0","193470","3600"
"Peugeot","308","2015","1560.0","142003","7990"
"Fiat","500L","2013","1300.0","110000","7500"
"Fiat","Punto","2011","1242.0","280000","1780"
"Mercedes","A 170","2003","1689.0","180000","2190"
"Renault","Clio","2006","1461.0","180237","2499"
"Land Rover","Range Rover Sport","2005","2698.0","225000","8500"
"Fiat","Grande Punto","2009","1368.0","150258","2999"
"Opel","GT","2008","1998.0","5395","15500"
"Land Rover","Freelander","2011","2198.0","149000","7900"
"Renault","Scenic","2004","1870.0","117000","1749"
"Lada","Niva","2001","1689.0","133553","1499"
"Opel","Astra","2005","1598.0","177415","2899"
"VW","Polo","2008","1198.0","155153","3499"
"Audi","A7","2011","2995.0","110500","18500"
"Citroen","C3 Picasso","2012","1560.0","180144","4899"
"Peugeot","Bipper","2010","1390.0","170302","4399"
"Citroen","Berlingo","2008","1560.0","189696","4199"
"Ford","Focus","2008","1560.0","237964","3299"
"VW","Caddy","2011","1598.0","185217","7499"
"Renault","Clio","2005","1461.0","186890","1450"
"Renault","Scenic","2010","1461.0","187505","4899"
"Ford","Fiesta","2008","1299.0","157459","2999"
"BMW","750","2010","4398.0","215000","14900"
"Renault","Clio","2010","1149.0","135985","4199"
"Renault","Kangoo","2006","1461.0","160117","2899"
"Peugeot","207","2008","1397.0","132068","3399"
"Jeep","Grand Cherokee","2011","2998.0","175500","14900"
"Ford","Galaxy","2008","1997.0","226432","5599"
"Opel","Corsa","2002","973.0","133439","1099"
"Volvo","S80","2007","2400.0","104500","7900"
"Renault","Scenic","2012","1461.0","169800","5890"
"Renault","Scenic","2008","1997.0","163000","2300"
"Renault","Clio","2008","1149.0","110525","3499"
"VW","Passat","2006","1968.0","244378","4799"
"Peugeot","508","2015","1997.0","109183","13950"
"Audi","A3","2006","1968.0","195224","4699"
"Opel","Corsa","2008","1229.0","164570","3799"
"Citroen","C4 Grand Picasso","2008","1997.0","191586","3799"
"Opel","Corsa","2009","998.0","165271","3799"
"Renault","Grand Modus","2008","1149.0","116728","3399"
"Audi","A6","2007","2698.0","165000","4900"
"Renault","Scenic","2005","1598.0","200861","2200"
"VW","Sharan","2011","1968.0","275190","9800"
"Mercedes","B 170","2006","1699.0","199306","4599"
"Audi","A3","2008","1968.0","192728","4899"
"Lancia","Ypsilon","2006","1242.0","127000","2150"
"VW","Passat","2006","1968.0","272380","4999"
"Audi","A5","2008","2698.0","187500","8900"
"Infiniti","FX","2005","3498.0","153500","3500"
"Fiat","Stilo","2004","1910.0","188079","1199"
"VW","Touran","2008","1390.0","224172","4399"
"Renault","Megane","2001","1390.0","242205","999"
"Renault","Megane","2009","1461.0","141312","4699"
"VW","Touran","2007","1896.0","241597","4599"
"Renault","Laguna","2008","1998.0","135000","5900"
"Citroen","C4 Grand Picasso","2008","1560.0","268540","2799"
"VW","Polo","2007","1198.0","135277","2999"
"Mercedes","B 180","2008","1991.0","226086","4799"
"Peugeot","5008","2010","1560.0","200207","6299"
"BMW","518","2015","1995.0","162500","16900"
"VW","Golf 5","2008","1896.0","188554","3799"
"VW","Polo","2010","1198.0","101249","4899"
"Dodge","Caliber","2010","2359.0","140500","7900"
"Opel","Astra","2004","1364.0","176277","3299"
"BMW","320","2008","1995.0","223717","6999"
"Peugeot","308","2007","1598.0","150199","4499"
"Citroen","C5","2009","1560.0","220000","4999"
"Renault","Modus","2005","1149.0","131227","2499"
"Opel","Astra","2011","1248.0","160258","5999"
"Opel","Astra","2016","1598.0","104000","11500"
"VW","Touareg","2007","2461.0","179000","7000"
"Toyota","Auris","2008","1398.0","136100","4700"
"Saab","9_3","2006","1910.0","164000","3500"
"Nissan","Qashqai","2011","1461.0","172358","6550"
"Citroen","C4 Picasso","2008","1560.0","162000","2990"
"Audi","A4","2012","1968.0","112958","12390"
"Opel","Astra","2007","1686.0","205000","1999"
"Toyota","Auris","2011","1329.0","119000","6350"
"Opel","Astra","2005","1364.0","191953","2999"
"Renault","Espace","2003","1870.0","200000","1550"
"Alfa Romeo","156","2002","1910.0","320","500"
"Opel","Mokka","2015","1598.0","113200","9430"
"Fiat","Bravo","2012","1368.0","57500","6250"
"VW","Passat","2007","1968.0","211000","4650"
"Fiat","Bravo","2008","1368.0","104000","3630"
"Renault","Clio","2008","1149.0","124258","2999"
"Audi","A4","2006","1968.0","188915","5999"
"Ford","Galaxy","2002","1900.0","243000","1850"
"Fiat","Multipla","2005","1596.0","139528","2550"
"Audi","TT","2004","1781.0","129067","4699"
"VW","Tiguan","2016","1968.0","145015","18450"
"MINI","One","2002","1598.0","126000","1999"
"VW","Passat","2006","1896.0","230000","5800"
"Fiat","Bravo","2008","1910.0","174000","2710"
"Porsche","Cayenne","2011","2967.0","185000","31990"
"Opel","Antara","2007","1991.0","145670","3810"
"Peugeot","308","2009","1598.0","178581","4949"
"Opel","Astra","2001","1700.0","230000","650"
"Renault","Clio","2006","1149.0","190000","2800"
"VW","Golf 5","2006","1600.0","180000","3990"
"Fiat","Punto","2004","1242.0","181000","1800"
"Nissan","Almera","2001","1753.0","240000","1150"
"Fiat","Bravo","2008","1910.0","168500","2150"
"VW","Golf 4","2001","1399.0","118000","2000"
"VW","Touran","2004","1989.0","189000","2490"
"Opel","Zafira","2010","1910.0","216000","3700"
"Toyota","RAV4","2011","2231.0","150000","10790"
"Mazda","6","2014","2180.0","164000","14990"
"Peugeot","3008","2014","1560.0","118000","8999"
"VW","Golf 2","1985","1595.0","250000","400"
"Opel","Corsa","2002","1690.0","196333","1680"
"Opel","Astra","2006","1910.0","229532","2950"
"Peugeot","206","2004","1398.0","168486","1950"
"Renault","Scenic","2001","2000.0","184000","1300"
"Nissan","Qashqai","2017","1598.0","149742","13950"
"Mercedes","C 220","2009","2148.0","196000","6500"
"VW","Golf 7","2014","1598.0","174500","10200"
"Škoda","Superb","2014","2000.0","226000","9500"
"Fiat","Bravo","2008","1368.0","156000","2990"
"Škoda","Yeti","2011","1968.0","155000","7490"
"Nissan","Qashqai","2017","1598.0","164930","16450"
"Opel","Insignia","2010","1956.0","99234","7430"
"Opel","Insignia","2010","1998.0","131200","5240"
"Peugeot","206","2004","1360.0","180","1800"
"Seat","Leon","2007","1896.0","199284","3690"
"Renault","Clio","2003","1461.0","295294","1850"
"Peugeot","307","2003","1997.0","210000","1950"
"Opel","Astra","2014","1398.0","20200","8100"
"Toyota","Corolla","2004","1995.0","199260","3050"
"Renault","Espace","2007","1998.0","303000","2399"
"Opel","Astra","2002","1997.0","201000","1650"
"Peugeot","206","2004","1400.0","170000","1750"
"Renault","Grand Scenic","2013","1461.0","185185","7450"
"Seat","Ibiza","1998","1984.0","198500","1390"
"Renault","Scenic","2001","1900.0","187000","1450"
"Renault","Espace","2004","1900.0","270000","1950"
"Opel","Astra","2007","1910.0","218000","3100"
"Opel","Astra","2000","1686.0","200000","899"
"Peugeot","307","2003","1598.0","155000","1350"
"Audi","A3","2004","1968.0","235450","3550"
